,show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in
5171,s7925,Movie,Salem: His Sister's Father,Mohamed Hamdy,Egypt,6/22/2019,2014,TV-14,99 min,"Dramas, International Movies"
5172,s7926,Movie,Samantaral,Partha Chakraborty,India,9/15/2018,2017,TV-MA,110 min,"Dramas, International Movies"
5173,s7927,Movie,Samarppanam,K. Gopinathan,India,03-01-2018,2017,TV-PG,116 min,"Dramas, International Movies"
5174,s7928,Movie,Sameer Abu Alneel,Amr Arafa,Egypt,06-06-2019,2013,TV-14,107 min,"Comedies, International Movies"
5175,s7929,Movie,Samson,"Bruce MacDonald, Gabriel Sabloff",South Africa,12/14/2018,2018,PG-13,109 min,"Action & Adventure, Dramas, Faith & Spirituality"
5179,s7934,Movie,Santa Claws,Glenn Miller,United States,11/17/2017,2014,TV-PG,86 min,"Children & Family Movies, Comedies"
5180,s7935,Movie,Santa's Apprentice,Luc Vinciguerra,Australia,12/20/2015,2010,TV-G,72 min,Children & Family Movies
5181,s7936,Movie,Sarah's Key,Gilles Paquet-Brenner,France,9/21/2019,2010,PG-13,102 min,"Dramas, International Movies"
5182,s7974,Movie,Secrets of Her Majesty's Secret Service,Kasia Uscinska,United Kingdom,2/22/2017,2014,TV-PG,55 min,"Documentaries, International Movies"
5183,s7937,Movie,Sardaar ji,Rohit Jugraj,Canada,12-01-2017,2015,TV-14,140 min,"Comedies, International Movies, Music & Musicals"
5184,s7938,Movie,Sardaarji 2,Rohit Jugraj,Australia,10/15/2017,2016,TV-PG,145 min,"Action & Adventure, Comedies, International Movies"
5186,s7940,Movie,Sarvopari Palakkaran,Venugopan,India,07-01-2018,2017,TV-14,133 min,"Dramas, International Movies"
5188,s7942,Movie,Satan & Adam,V. Scott Balcerek,United States,06-01-2019,2018,TV-MA,78 min,"Documentaries, Music & Musicals"
5189,s7944,Movie,Satrangi Re,Aditya Sarpotdar,India,3/15/2018,2012,TV-14,150 min,"Dramas, International Movies, Music & Musicals"
5191,s7946,Movie,Saturday Church,Damon Cardasis,United States,10-06-2020,2017,TV-MA,83 min,"Dramas, LGBTQ Movies"
5192,s7947,Movie,Savage Dog,Jesse V. Johnson,United States,11-01-2017,2017,TV-MA,95 min,"Action & Adventure, Independent Movies"
5193,s7948,Movie,Savage Raghda,Mahmoud Karim,Egypt,6/13/2019,2018,TV-MA,93 min,"Comedies, International Movies, Romantic Movies"
5194,s7950,Movie,Saving Mr. Banks,John Lee Hancock,United States,03-02-2019,2013,PG-13,126 min,"Comedies, Dramas"
5195,s7951,Movie,Saving Zoë,Jeffrey G. Hunt,United States,1/15/2020,2019,R,95 min,Dramas
5196,s7952,Movie,Say When,Lynn Shelton,United States,7/19/2018,2014,R,99 min,"Comedies, Dramas, Independent Movies"
5197,s7953,Movie,Scales: Mermaids Are Real,Kevan Peterson,United States,1/23/2020,2017,PG,93 min,Children & Family Movies
5199,s7975,Movie,Secrets of Highclere Castle,Vicky Matthews,United States,2/22/2017,2013,TV-PG,54 min,"Documentaries, International Movies"
5201,s7957,Movie,Scary Movie 5,Malcolm D. Lee,United States,08-12-2020,2013,PG-13,88 min,"Comedies, Horror Movies"
5205,s7961,Movie,Scott Pilgrim vs. the World,Edgar Wright,United States,9/16/2018,2010,PG-13,112 min,"Action & Adventure, Comedies, Cult Movies"
5208,s7964,Movie,Seal Team Six: The Raid on Osama Bin Laden,John Stockwell,United States,01-01-2020,2012,TV-MA,90 min,Action & Adventure
5210,s7966,Movie,Searching for Sugar Man,Malik Bendjelloul,Sweden,12-01-2019,2012,PG-13,86 min,"Documentaries, International Movies, Music & Musicals"
5211,s7967,Movie,Season of the Witch,Dominic Sena,United States,4/26/2019,2011,PG-13,95 min,"Action & Adventure, Sci-Fi & Fantasy"
5213,s7970,Movie,Secret in Their Eyes,Billy Ray,United States,04-01-2018,2015,PG-13,111 min,"Dramas, Thrillers"
5214,s7971,Movie,Secrets of Althorp - The Spencers,Kasia Uscinska,United States,4/22/2017,2013,TV-PG,54 min,"Documentaries, International Movies"
5215,s7972,Movie,Secrets of Chatsworth,Susannah Ward,United States,2/22/2017,2013,TV-PG,54 min,"Documentaries, International Movies"
5216,s7973,Movie,Secrets of Henry VIII's Palace: Hampton Court,Sam Taplin,United States,2/22/2017,2013,TV-PG,54 min,"Documentaries, International Movies"
5217,s7978,Movie,Secrets of the Tower of London,Vicky Matthews,United Kingdom,2/22/2017,2013,TV-PG,55 min,Documentaries
5218,s7979,Movie,Secrets of Underground London,"Vicky Matthews, Gareth Sacala",United Kingdom,4/22/2017,2014,TV-PG,55 min,"Documentaries, International Movies"
5219,s7980,Movie,Secrets of Westminster,Louise Wardle,United States,4/22/2017,2014,TV-PG,55 min,"Documentaries, International Movies"
5220,s7981,Movie,Sen Kimsin?,Ozan Açıktan,Turkey,03-10-2017,2012,TV-14,102 min,"Comedies, International Movies"
5221,s7982,Movie,Senna,Asif Kapadia,United Kingdom,10-01-2019,2010,PG-13,106 min,"Documentaries, International Movies, Sports Movies"
5222,s7984,Movie,"Septiembre, un llanto en silencio",Kenneth Müller,Guatemala,03-10-2018,2017,TV-MA,69 min,"Dramas, Independent Movies, International Movies"
5223,s7986,Movie,Set Up,Mike Gunther,United States,01-10-2020,2011,R,85 min,Action & Adventure
5224,s7987,Movie,Sex and the City 2,Michael Patrick King,United States,01-01-2021,2010,R,146 min,"Comedies, Dramas, Romantic Movies"
5226,s7989,Movie,Sex Doll,Sylvie Verheyde,United Kingdom,07-10-2017,2016,UR,103 min,"Dramas, International Movies, Romantic Movies"
5228,s7991,Movie,SGT. Will Gardner,Max Martini,United States,5/19/2019,2019,TV-MA,125 min,Dramas
5229,s7993,Movie,Shahanpan Dega Deva,Sudesh Manjrekar,India,01-01-2018,2011,TV-14,115 min,"Comedies, International Movies"
5231,s7996,Movie,Shanghai,Dibakar Banerjee,India,03-01-2018,2012,TV-14,109 min,"Dramas, Independent Movies, International Movies"
5234,s7999,Movie,Shark Night,David R. Ellis,United States,11-02-2019,2011,PG-13,91 min,Horror Movies
5236,s8002,Movie,Shelter,"Måns Mårlind, Björn Stein",United States,12/29/2017,2010,R,112 min,"Horror Movies, Thrillers"
5239,s8006,Movie,Shopkins: Chef Club,Raymond McGrath,United States,11/15/2018,2016,TV-Y,45 min,Movies
5240,s8007,Movie,Shopkins: Wild,"Adele K. Thomas, Richard Bailey",Australia,11/15/2018,2018,TV-Y,75 min,Movies
5241,s8008,Movie,Shopkins: World Vacation,Richard Bailey,Australia,11/15/2018,2017,TV-Y,71 min,Movies
5242,s8009,Movie,Shorgul,"Jitendra Tiwari, Pranav Singh",India,10/30/2018,2016,TV-14,122 min,"Dramas, International Movies"
5243,s8010,Movie,Short Term 12,Destin Daniel Cretton,United States,7/18/2019,2013,R,97 min,"Dramas, Independent Movies"
5245,s8012,Movie,SHOT! The Psycho-Spiritual Mantra of Rock,Barney Clay,United Kingdom,08-10-2017,2016,TV-MA,98 min,"Documentaries, Music & Musicals"
5246,s8013,Movie,Shuddhi,Adarsh Eshwarappa,India,03-01-2018,2017,TV-14,115 min,"Dramas, International Movies, Thrillers"
5248,s8015,Movie,Sicilian Ghost Story,"Fabio Grassadonia, Antonio Piazza",Italy,07-06-2019,2017,TV-MA,119 min,"Dramas, International Movies, Thrillers"
5249,s8017,Movie,Siddhant,Vivek Wagh,India,10/30/2018,2014,TV-G,105 min,"Dramas, Independent Movies, International Movies"
5250,s8018,Movie,Silencer,Timothy Woodward Jr.,United States,12-03-2018,2018,TV-MA,88 min,"Action & Adventure, Independent Movies"
5251,s8019,Movie,Silent Hill: Revelation,M.J. Bassett,Canada,12/13/2019,2012,R,94 min,Horror Movies
5252,s8020,Movie,Silicon Cowboys,Jason Cohen,United States,04-01-2017,2016,TV-PG,77 min,Documentaries
5253,s8024,Movie,Singh Saab the Great,Anil Sharma,India,7/15/2017,2013,TV-14,143 min,"Action & Adventure, Dramas, International Movies"
5254,s8025,Movie,Single,Raditya Dika,Indonesia,9/28/2018,2015,TV-PG,127 min,"Comedies, International Movies, Romantic Movies"
5255,s8026,Movie,Singularity,Robert Kouba,Switzerland,06-01-2018,2017,PG-13,92 min,"Action & Adventure, Dramas, Sci-Fi & Fantasy"
5256,s8027,Movie,Sinister Circle,Dorian Fernández-Moris,Peru,10-01-2019,2017,TV-MA,87 min,"Horror Movies, International Movies"
5257,s8028,Movie,Siren,Gregg Bishop,United States,01-01-2020,2016,TV-MA,83 min,Horror Movies
5258,s8029,Movie,Sister Code,Corey Grant,United States,2/14/2016,2015,R,95 min,"Comedies, Dramas, Romantic Movies"
5259,s8030,Movie,Skin Trade,Ekachai Uekrongtham,Thailand,12/17/2018,2014,R,96 min,Action & Adventure
5260,s8033,Movie,Skiptrace,Renny Harlin,China,07-04-2019,2016,PG-13,107 min,"Action & Adventure, Comedies"
5261,s8034,Movie,Sky on Fire,Ringo Lam,China,08-05-2017,2016,TV-MA,100 min,"Action & Adventure, International Movies"
5262,s8035,Movie,Skydancers,Fredric Lean,United States,6/27/2018,2014,TV-G,49 min,"Documentaries, Sports Movies"
5263,s8134,Movie,Survivors Guide to Prison,Matthew Cooke,United States,5/24/2018,2017,TV-MA,103 min,Documentaries
5264,s8036,Movie,Skyline,"Colin Strause, Greg Strause",United States,1/16/2019,2010,PG-13,94 min,"Action & Adventure, Sci-Fi & Fantasy"
5265,s8037,Movie,Sleeping with Other People,Leslye Headland,United States,10-02-2017,2015,R,101 min,"Comedies, Dramas, Independent Movies"
5269,s8042,Movie,Slow West,John Maclean,United Kingdom,7/26/2018,2015,R,84 min,"Action & Adventure, Dramas, International Movies"
5272,s8046,Movie,SMOSH: The Movie,Alex Winter,United States,9/22/2015,2015,PG-13,83 min,Comedies
5273,s8047,Movie,Sniper: Special Ops,Fred Olen Ray,United States,01-10-2020,2016,R,86 min,"Action & Adventure, Dramas"
5275,s8049,Movie,Social Animals,Jonathan Ignatius Green,United States,3/19/2019,2018,TV-MA,87 min,Documentaries
5276,s8050,Movie,Soekarno,Hanung Bramantyo,Indonesia,01-05-2019,2013,TV-MA,142 min,"Dramas, International Movies"
5278,s8052,Movie,Solo: A Star Wars Story,Ron Howard,United States,01-09-2019,2018,PG-13,135 min,"Action & Adventure, Children & Family Movies, Sci-Fi & Fantasy"
5279,s8053,Movie,Solo: A Star Wars Story (Spanish Version),Ron Howard,United States,01-09-2019,2018,PG-13,135 min,"Action & Adventure, Children & Family Movies, Sci-Fi & Fantasy"
5281,s8055,Movie,Some Freaks,Ian MacAllister-McDonald,United States,12/18/2017,2017,TV-MA,97 min,"Dramas, Romantic Movies"
5283,s8057,Movie,Son of a Gun,Julius Avery,Australia,7/19/2018,2014,R,109 min,"Action & Adventure, Dramas, Independent Movies"
5284,s8058,Movie,Sons of Ben,Jeffrey C. Bell,United States,12-10-2016,2016,NR,73 min,"Documentaries, Sports Movies"
5285,s8060,Movie,Soul Surfer,Sean McNamara,United States,5/17/2020,2011,PG,106 min,"Dramas, Faith & Spirituality, Sports Movies"
5286,s8061,Movie,Soul to Keep,"David Allensworth, Monière",United States,07-01-2019,2019,TV-MA,94 min,"Horror Movies, Independent Movies"
5287,s8062,Movie,Sour Grapes,"Jerry Rothwell, Reuben Atlas",United Kingdom,11/18/2016,2016,NR,85 min,Documentaries
5289,s8066,Movie,Speech & Debate,Dan Harris,United States,07-06-2017,2017,PG-13,96 min,"Comedies, Dramas, Independent Movies"
5290,s8067,Movie,Speed Is My Need,Mark Sloper,United Kingdom,01-09-2020,2019,TV-14,75 min,"Documentaries, Sports Movies"
5292,s8069,Movie,Spider-Man: Into the Spider-Verse,"Peter Ramsey, Rodney Rothman, Bob Persichetti",United States,6/26/2019,2018,PG,117 min,"Action & Adventure, Comedies"
5293,s8070,Movie,Spitfire: The Plane that Saved the World,"David Fairhead, Anthony Palmer",United Kingdom,11-01-2019,2018,TV-14,95 min,Documentaries
5294,s8072,Movie,Spotlight,Tom McCarthy,United States,7/22/2020,2015,R,129 min,"Dramas, Independent Movies"
5295,s8073,Movie,Spring Breakers,Harmony Korine,United States,01-10-2021,2012,R,94 min,"Comedies, Cult Movies, Dramas"
5296,s8173,TV Show,Th Eena Meena Deeka Chase Comedy Show,Dheeraj Berry,India,3/31/2018,2015,TV-Y7,1 Season,"Kids' TV, TV Comedies"
5297,s8074,Movie,Sprinter,Storm Saulter,Jamaica,4/15/2020,2018,TV-MA,112 min,"Dramas, International Movies, Sports Movies"
5301,s8078,Movie,Spy Time,Javier Ruiz Caldera,Spain,06-01-2016,2015,TV-MA,93 min,"Action & Adventure, Comedies, International Movies"
5302,s8079,Movie,St. Agatha,Darren Lynn Bousman,United States,08-08-2019,2018,TV-MA,103 min,"Horror Movies, Independent Movies"
5303,s8080,Movie,Staged Killer,Christopher Ray,United States,6/28/2019,2019,TV-14,88 min,Thrillers
5304,s8081,Movie,Standoff,Adam Alleca,Canada,12-11-2018,2015,R,86 min,Action & Adventure
5305,s8082,Movie,Star Men,Alison E. Rose,Canada,02-05-2017,2015,TV-14,88 min,Documentaries
5306,s8083,Movie,Star Wars: Episode VIII: The Last Jedi,Rian Johnson,United States,6/26/2018,2017,PG-13,152 min,"Action & Adventure, Children & Family Movies, Sci-Fi & Fantasy"
5307,s8085,Movie,Starred Up,David Mackenzie,United Kingdom,8/29/2019,2013,TV-MA,106 min,"Dramas, Independent Movies, International Movies"
5310,s8089,Movie,Step Outside,Wael Ihsan,Egypt,06-06-2019,2018,TV-14,89 min,"Comedies, International Movies"
5311,s8090,Movie,Stephanie,Akiva Goldsman,United States,09-01-2018,2017,R,86 min,Horror Movies
5312,s8091,Movie,Sthaniya Sambaad,"Arjun Gourisaria, Moinak Biswas",India,3/15/2018,2010,TV-14,106 min,"Dramas, International Movies"
5313,s8092,Movie,Still,"Chatchai Katenut, Manussa Vorasingha, Tanwarin Sukkhapisit, Poj Arnon",Thailand,9/14/2018,2010,TV-MA,100 min,"Horror Movies, International Movies"
5314,s8096,Movie,Stonehearst Asylum,Brad Anderson,United States,09-08-2017,2014,PG-13,113 min,"Horror Movies, Thrillers"
5315,s8097,Movie,Stop at Nothing: The Lance Armstrong Story,Alex Holmes,Australia,2/15/2015,2014,NR,100 min,"Documentaries, International Movies, Sports Movies"
5316,s8099,Movie,Story of an Egg,Raj B. Shetty,India,10/15/2017,2017,TV-PG,132 min,"Comedies, International Movies, Romantic Movies"
5317,s8100,Movie,Straight Up,James Sweeney,United States,6/26/2020,2020,TV-MA,96 min,"Comedies, Independent Movies, LGBTQ Movies"
5318,s8101,Movie,Strange but True,Rowan Athale,Canada,8/30/2020,2019,PG-13,96 min,"Dramas, Thrillers"
5321,s8105,Movie,Strike a Pose,"Ester Gould, Reijer Zwaan",Netherlands,04-07-2017,2016,TV-MA,85 min,"Documentaries, International Movies, LGBTQ Movies"
5324,s8109,Movie,Stronger Than the World,Afonso Poyart,Brazil,02-11-2017,2016,NR,123 min,"Action & Adventure, Dramas, International Movies"
5326,s8112,Movie,Submission,J.M. Berrios,United States,11-11-2019,2019,TV-MA,95 min,"Action & Adventure, Dramas"
5327,s8113,Movie,Suburra,Stefano Sollima,Italy,10/14/2015,2015,NR,135 min,"Dramas, International Movies, Thrillers"
5328,s8114,Movie,Suckseed,Chayanop Boonprakob,Thailand,09-05-2018,2011,TV-MA,130 min,"Comedies, International Movies, Music & Musicals"
5329,s8115,Movie,Sudani from Nigeria,Zakariya,India,08-01-2018,2018,TV-14,115 min,"Comedies, Dramas, International Movies"
5330,s8116,Movie,Suicide (Hitabdut),Benny Fredman,Israel,07-01-2016,2014,TV-MA,114 min,"International Movies, Thrillers"
5331,s8117,Movie,Suite Française,Saul Dibb,United Kingdom,06-05-2017,2014,TV-MA,107 min,"Dramas, International Movies, Romantic Movies"
5332,s8119,Movie,Summer Night,Joseph Cross,United States,3/19/2020,2019,TV-MA,93 min,"Comedies, Dramas, Romantic Movies"
5333,s8120,Movie,Summer of '92,Kasper Barfoed,Denmark,07-10-2016,2015,TV-MA,94 min,"Dramas, International Movies, Sports Movies"
5334,s8121,Movie,Sunrise,Partho Sen-Gupta,India,3/15/2017,2014,TV-MA,85 min,"Dramas, Independent Movies, International Movies"
5335,s8123,Movie,Super Bheem Bana Vajraveer,Sumit Das,India,6/18/2019,2018,TV-Y7,63 min,Children & Family Movies
5336,s8124,Movie,Super Dark Times,Kevin Phillips,United States,01-01-2018,2017,TV-MA,104 min,"Dramas, Independent Movies, Thrillers"
5337,s8125,Movie,Super Nani,Indra Kumar,India,03-01-2018,2014,TV-PG,127 min,"Comedies, Dramas, International Movies"
5342,s8132,Movie,Surat Dari Praha,Angga Dwimas Sasongko,Indonesia,10-09-2018,2016,TV-14,98 min,"Dramas, International Movies, Romantic Movies"
5343,s8135,Movie,Susanne Bartsch: On Top,"Anthony Caronna, Alexander Smith",United States,12-10-2018,2017,TV-MA,86 min,"Documentaries, LGBTQ Movies"
5344,s8136,Movie,Sustainable,Matt Wechsler,United States,03-01-2017,2016,TV-G,92 min,Documentaries
5347,s8140,Movie,Sweet Virginia,Jamie M. Dagg,United States,12-01-2019,2017,R,93 min,"Dramas, Independent Movies, Thrillers"
5348,s8141,Movie,Swiss Army Man,"Dan Kwan, Daniel Scheinert",United States,1/30/2019,2016,R,97 min,"Comedies, Dramas, Independent Movies"
5349,s8142,Movie,Sword Master,Derek Yee,China,06-10-2017,2016,TV-MA,108 min,"Action & Adventure, Dramas, International Movies"
5353,s8147,Movie,Take Me Home Tonight,Michael Dowse,United States,5/16/2019,2011,R,97 min,"Comedies, Romantic Movies"
5354,s8150,Movie,Tamanchey,Navneet Behal,India,10/15/2017,2014,TV-MA,111 min,"Action & Adventure, International Movies, Romantic Movies"
5355,s8151,Movie,Tarif de nuit,Julien Seri,France,03-01-2018,2015,TV-MA,81 min,"International Movies, Thrillers"
5358,s8154,Movie,Tattah,Sameh Abdulaziz,Egypt,05-09-2019,2013,TV-14,112 min,"Comedies, International Movies"
5359,s8155,Movie,Tayo the Little Bus Movie: Mission Ace,Ryu Jung-woo,United States,07-01-2019,2016,TV-Y7,48 min,Children & Family Movies
5360,s8156,Movie,Teach Us All,Sonia Lowman,United States,9/25/2017,2017,TV-14,81 min,Documentaries
5361,s8157,Movie,Teen Patti,Leena Yadav,India,03-01-2018,2010,TV-PG,137 min,"Dramas, International Movies, Thrillers"
5362,s8158,Movie,Teenage Cocktail,John Carchietta,United States,1/15/2017,2016,TV-MA,89 min,"Dramas, Independent Movies, LGBTQ Movies"
5365,s8162,Movie,Tees Maar Khan,Farah Khan,India,08-02-2018,2010,TV-PG,125 min,"Comedies, International Movies, Music & Musicals"
5366,s8163,Movie,Tellur Aliens,Einar Gabbassov,United States,12-01-2016,2016,TV-Y7,67 min,Children & Family Movies
5367,s8164,Movie,Temporada de Caza,Natalia Garagiola,Argentina,7/15/2018,2017,TV-MA,108 min,"Dramas, International Movies"
5368,s8165,Movie,Ten Years,"Jevons Au, Zune Kwok, Chow Kwun-wai, Ng Ka-Leung, Wong Fei-Pang",Hong Kong,02-12-2019,2015,TV-MA,102 min,"Dramas, Independent Movies, International Movies"
5371,s8169,Movie,Terra,"Yann Arthus-Bertrand, Michael Pitiot",France,05-01-2016,2015,TV-PG,98 min,"Documentaries, International Movies"
5372,s8170,Movie,Terrifier,Damien Leone,United States,09-01-2018,2017,TV-MA,84 min,"Horror Movies, Independent Movies, Thrillers"
5373,s8171,Movie,Teshan,Sukhbir Singh,India,10/15/2017,2016,TV-PG,133 min,"Comedies, International Movies, Romantic Movies"
5374,s8172,Movie,Tezz,Priyadarshan,United Kingdom,12-01-2017,2012,TV-MA,121 min,"Action & Adventure, International Movies, Music & Musicals"
5375,s8177,Movie,The 24 Hour War,"Nate Adams, Adam Carolla",United States,11/15/2019,2016,TV-MA,100 min,"Documentaries, Sports Movies"
5376,s8178,Movie,The 4th Company,"Mitzi Vanessa Arreola, Amir Galvan Cervera",Mexico,04-06-2018,2016,TV-MA,117 min,"Action & Adventure, Dramas, International Movies"
5377,s8179,Movie,The Accountant of Auschwitz,Matthew Shoychet,Canada,07-01-2019,2018,TV-14,78 min,"Documentaries, International Movies"
5378,s8180,Movie,The Adderall Diaries,Pamela Romanowsky,United States,7/15/2018,2015,R,87 min,"Dramas, Thrillers"
5379,s8182,Movie,The Adventure Club,Geoff Anderson,Canada,05-10-2017,2016,TV-Y7,88 min,Children & Family Movies
5381,s8185,Movie,The Adventures of Tintin,Steven Spielberg,United States,11/20/2019,2011,PG,107 min,Children & Family Movies
5383,s8187,Movie,The Age of Shadows,Jee-woon Kim,South Korea,01-01-2018,2016,TV-MA,140 min,"Action & Adventure, Dramas, International Movies"
5386,s8191,Movie,The Angry Birds Movie 2,"Thurop Van Orman, John Rice",Finland,2/27/2020,2019,PG,97 min,"Children & Family Movies, Comedies"
5387,s8192,Movie,The Animal People,"Denis Hennelly, Casey Suchan",United States,03-11-2020,2019,TV-MA,97 min,Documentaries
5388,s8193,Movie,The Ant's Scream,Sameh Abdulaziz,Egypt,6/13/2019,2010,TV-14,108 min,"Comedies, Dramas, International Movies"
5389,s8195,Movie,The Apostate,Federico Veiroj,Spain,05-10-2017,2015,TV-MA,80 min,"Comedies, Dramas, International Movies"
5390,s8196,Movie,The Art of the Steal,Jonathan Sobol,Canada,12-08-2018,2013,R,90 min,"Action & Adventure, Comedies, Independent Movies"
5392,s8198,Movie,The Assignment,Walter Hill,France,3/15/2020,2016,R,95 min,Action & Adventure
5393,s8199,Movie,The Autopsy of Jane Doe,André Øvredal,United Kingdom,12/30/2018,2016,R,86 min,"Horror Movies, Independent Movies, Thrillers"
5394,s8201,Movie,The Bachelors,Kurt Voelker,United States,2/21/2018,2017,TV-14,100 min,Dramas
5395,s8202,Movie,The Bad Education Movie,Elliot Hegarty,United Kingdom,12/15/2018,2015,TV-MA,87 min,Comedies
5396,s8203,Movie,The Bad Kids,"Keith Fulton, Louis Pepe",United States,04-01-2017,2016,TV-MA,101 min,Documentaries
5398,s8205,Movie,The Basement,"Brian M. Conley, Nathan Ives",United States,04-09-2019,2018,TV-MA,89 min,"Horror Movies, Thrillers"
5400,s8208,TV Show,The Beginning of Life: The Series,Estela Renner,Brazil,11-11-2016,2016,TV-PG,1 Season,"Docuseries, International TV Shows, Science & Nature TV"
5401,s8211,Movie,The Bill Murray Stories: Life Lessons Learned From a Mythical Man,Tommy Avallone,United States,12/31/2018,2018,TV-MA,72 min,Documentaries
5402,s8212,Movie,The Black Room,Rolfe Kanefsky,United States,08-07-2017,2016,TV-MA,95 min,Horror Movies
5403,s8213,Movie,The Blackcoat's Daughter,Osgood Perkins,Canada,5/18/2019,2015,R,95 min,"Horror Movies, Independent Movies, Thrillers"
5404,s8214,Movie,The Bleeder,Philippe Falardeau,United States,3/29/2019,2016,R,98 min,"Dramas, Sports Movies"
5406,s8216,Movie,The Bomb,"Kevin Ford, Smriti Keshari, Eric Schlosser",United States,08-01-2017,2016,TV-14,59 min,Documentaries
5407,s8231,Movie,The Bulbul's Nest,Husam El-Gohari,Egypt,05-09-2019,2013,TV-MA,96 min,"Comedies, International Movies"
5408,s8218,Movie,The Book of Eli,"Albert Hughes, Allen Hughes",United States,07-01-2019,2010,R,118 min,"Action & Adventure, Sci-Fi & Fantasy"
5409,s8219,Movie,The Boss's Daughter,Olivier Loustau,France,03-10-2017,2015,TV-MA,98 min,"Dramas, International Movies, Romantic Movies"
5410,s8220,Movie,The Bounty Hunter,Andy Tennant,United States,10-01-2019,2010,PG-13,111 min,"Action & Adventure, Comedies, Romantic Movies"
5412,s8222,Movie,The Boy,William Brent Bell,United States,06-01-2020,2016,PG-13,97 min,"Horror Movies, Independent Movies, Thrillers"
5415,s8225,Movie,The Brawler,Ken Kushner,United States,5/18/2019,2019,TV-MA,95 min,"Dramas, Independent Movies, Sports Movies"
5416,s8226,Movie,The Breadwinner,Nora Twomey,Ireland,2/20/2018,2017,PG-13,93 min,"Children & Family Movies, Dramas, International Movies"
5418,s8228,Movie,The Bridge,Kunle Afolayan,Nigeria,09-01-2019,2017,TV-14,119 min,"Dramas, International Movies, Romantic Movies"
5421,s8233,Movie,The Bye Bye Man,Stacy Title,United States,04-01-2019,2017,PG-13,96 min,"Horror Movies, Thrillers"
5422,s8234,Movie,The Bygone,"Graham Phillips, Parker Phillips",United States,3/23/2020,2019,TV-MA,106 min,"Independent Movies, Thrillers"
5423,s8235,Movie,The Cakemaker,Ofir Raul Graizer,Israel,12-04-2018,2017,TV-14,109 min,"Dramas, Independent Movies, International Movies"
5424,s8236,TV Show,The Calling,Bumpy,India,04-01-2019,2018,TV-MA,1 Season,"International TV Shows, Reality TV"
5425,s8237,Movie,The Captive,Atom Egoyan,Canada,7/20/2018,2014,R,112 min,"Dramas, Thrillers"
5427,s8239,Movie,The Carter Effect,Sean Menard,United States,05-01-2018,2017,TV-MA,60 min,"Documentaries, Sports Movies"
5428,s8240,Movie,The Case for Christ,Jon Gunn,United States,11/21/2017,2017,TV-PG,113 min,"Dramas, Faith & Spirituality"
5429,s8241,Movie,The Cell,Tarek Al Eryan,Egypt,6/13/2019,2017,TV-MA,126 min,"Action & Adventure, Dramas, International Movies"
5430,s8242,Movie,The CEO,Kunle Afolayan,Nigeria,09-01-2019,2016,TV-14,109 min,"Dramas, International Movies, Thrillers"
5431,s8243,Movie,The Charnel House,Craig Moss,United States,02-04-2017,2016,R,93 min,"Horror Movies, Thrillers"
5432,s8245,Movie,The Chord,Magdy Al-Hawwary,Egypt,6/20/2019,2010,TV-MA,101 min,"Dramas, International Movies, Music & Musicals"
5433,s8246,Movie,The Chosen,Antonio Chavarrías,Spain,4/14/2017,2016,TV-14,111 min,"Dramas, International Movies, Thrillers"
5434,s8247,Movie,The Chosen Ones,David Pablos,Mexico,05-08-2016,2015,TV-MA,107 min,"Dramas, Independent Movies, International Movies"
5435,s8248,Movie,The Christmas Candle,John Stephenson,United Kingdom,11-01-2019,2013,PG,100 min,"Dramas, Faith & Spirituality"
5436,s8249,Movie,The Christmas Project,Michael Buster,United States,03-01-2019,2016,TV-PG,92 min,"Children & Family Movies, Comedies"
5438,s8252,Movie,The Company Men,John Wells,United States,7/28/2018,2010,R,105 min,"Dramas, Independent Movies"
5439,s8253,Movie,The Competition,Harvey Lowry,United States,7/23/2019,2018,TV-14,103 min,"Comedies, Romantic Movies"
5440,s8254,Movie,The Confirmation,Bob Nelson,Canada,02-06-2019,2016,PG-13,101 min,"Comedies, Dramas, Independent Movies"
5441,s8255,Movie,The Congress,Ari Folman,Israel,8/23/2019,2013,TV-MA,123 min,"Dramas, International Movies, Sci-Fi & Fantasy"
5442,s8256,Movie,The Consul's Son,Amr Arafa,Egypt,4/25/2019,2011,TV-14,114 min,"Comedies, International Movies, Thrillers"
5444,s8259,Movie,The Croods,"Kirk De Micco, Chris Sanders",United States,7/29/2019,2013,PG,99 min,"Children & Family Movies, Comedies"
5448,s8264,Movie,The D Train,"Jarrad Paul, Andrew Mogel",United Kingdom,04-02-2017,2015,R,101 min,Comedies
5450,s8266,Movie,The Dancer,Ifa Isfansyah,Indonesia,12-08-2018,2011,TV-MA,105 min,"Dramas, International Movies, Romantic Movies"
5452,s8268,Movie,The Dark Side of Life: Mumbai City,Tariq Khan,India,12/31/2019,2018,TV-MA,121 min,"Dramas, International Movies"
5453,s8270,Movie,The Daughter,Simon Stone,Australia,4/26/2017,2015,TV-MA,95 min,Dramas
5454,s8271,Movie,The Dawn Wall,"Peter Mortimer, Josh Lowell",Austria,03-04-2019,2017,TV-MA,100 min,"Documentaries, Sports Movies"
5456,s8274,Movie,The Desert Bride,"Cecilia Atán, Valeria Pivato",Argentina,11-08-2018,2017,TV-14,78 min,"Dramas, International Movies"
